Model Version,Trial #,Train Accuracy,Val Accuracy,Train Loss,Val Loss,Accuracy
draft_mobilenetv2,1-trial,1.0,0.511904776096344,0.0141847189515829,11.079431533813477,0.757
draft_mobilenetv2,2-trial,1.0,0.9976190328598022,0.0982242152094841,0.0935006812214851,1.0
draft_mobilenetv2,3-trial,1.0,0.9976190328598022,0.2313968390226364,0.2264504581689834,0.996
draft_mobilenetv2,4-trial,0.99660325050354,0.9857142567634584,0.3549514412879944,0.3755616545677185,0.992
draft_sigmoid,1-trial,0.9907660484313964,0.988095223903656,0.0282319951802492,0.0675767362117767,0.999
draft_sigmoid,2-trial,0.949999988079071,0.9857142567634584,0.1868650615215301,0.165719985961914,0.994
draft_sigmoid,3-trial,0.9764021635055542,0.9833333492279052,0.2068851292133331,0.1849286407232284,0.988
draft_sigmoid,4-trial,0.991847813129425,0.9904761910438538,0.1398494690656662,0.1292927265167236,0.998
draft_softmax,1-trial,0.980506181716919,0.9928571581840516,0.066008485853672,0.0320928357541561,0.995
draft_softmax,2-trial,1.0,0.9928571581840516,0.0145483938977122,0.0415566116571426,0.992
draft_softmax,3-trial,0.9753761887550354,0.976190447807312,0.2905829846858978,0.2724206447601318,0.987
draft_softmax,4-trial,0.97927987575531,0.9595237970352172,0.218429759144783,0.2922316789627075,0.989
